r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   A   Z_eq   Z   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)  drho/dr (kg/m^4)   dn_e/dr (fm^{-3}/m)
11.6951   1.36473864e+32   1.39418222   5.65529673e+13   -0.658903822   1.54337648   0.0335547545   1101.48762   223.492737   40   39.984844   0.00121852498   0.0267460057   948.123566   -4.22629408e+14   -6.91748766e-06
11.69635   1.34999403e+32   1.39424305   5.60264698e+13   -0.658922976   1.54332344   0.0332432028   1099.04329   223.191529   40   39.9853108   0.00120989603   0.0264917949   948.095417   -4.19754244e+14   -6.88876195e-06
11.6976   1.33539007e+32   1.39430332   5.55035817e+13   -0.658942127   1.54327008   0.0329337767   1096.60176   222.885526   40   39.9857576   0.00120130308   0.0262395222   948.067256   -4.16855248e+14   -6.85987238e-06
11.69885   1.32092578e+32   1.39436304   5.49843317e+13   -0.658961274   1.54321641   0.0326264934   1094.16368   222.574949   40   39.9861855   0.00119274634   0.025989195   948.039083   -4.13934019e+14   -6.83080956e-06
11.7001   1.30660013e+32   1.39442221   5.44687466e+13   -0.658980417   1.54316242   0.0323213689   1091.7297   222.260014   40   39.9865954   0.00118422605   0.0257408195   948.010901   -4.10992068e+14   -6.80156355e-06
11.70135   1.29241211e+32   1.39448084   5.39568515e+13   -0.658999556   1.54310812   0.0320184181   1089.30042   221.940932   40   39.9869881   0.00117574244   0.0254944013   947.98271   -4.0803076e+14   -6.77212303e-06
11.7026   1.27836069e+32   1.39453893   5.34486697e+13   -0.659018692   1.54305351   0.0317176551   1086.8764   221.617912   40   39.9873644   0.00116729574   0.0252499452   947.954512   -4.05051479e+14   -6.74247798e-06
11.70385   1.26444485e+32   1.39459649   5.29442228e+13   -0.659037825   1.5429986   0.0314190927   1084.45822   221.291156   40   39.9877251   0.00115888624   0.0250074551   947.926309   -4.02055617e+14   -6.71261956e-06
11.7051   1.25066355e+32   1.39465351   5.24435307e+13   -0.659056954   1.54294338   0.0311227428   1082.04637   220.960863   40   39.988071   0.0011505142   0.0247669344   947.898102   -3.99044572e+14   -6.68254016e-06
11.70635   1.23701577e+32   1.39471001   5.19466114e+13   -0.659076079   1.54288786   0.0308286163   1079.64136   220.627227   40   39.9884027   0.00114217989   0.0245283856   947.869893   -3.96019741e+14   -6.65223323e-06
11.7076   1.22350044e+32   1.39476598   5.14534813e+13   -0.6590952   1.54283204   0.0305367231   1077.24365   220.290437   40   39.9887209   0.00113388361   0.0242918105   947.841682   -3.92982358e+14   -6.62169063e-06
11.70885   1.21011654e+32   1.39482143   5.09641555e+13   -0.659114318   1.54277593   0.0302470722   1074.85368   219.950678   40   39.9890263   0.00112562566   0.0240572102   947.813471   -3.89933765e+14   -6.59090722e-06
11.7101   1.19686301e+32   1.39487637   5.04786469e+13   -0.659133432   1.54271952   0.0299596714   1072.47185   219.60813   40   39.9893194   0.00111740634   0.023824585   947.785263   -3.86875556e+14   -6.55988326e-06
11.71135   1.18373879e+32   1.39493079   4.99969666e+13   -0.659152542   1.54266282   0.0296745274   1070.09856   219.262968   40   39.9896008   0.00110922596   0.0235939346   947.757057   -3.83809208e+14   -6.52861836e-06
11.7126   1.17074285e+32   1.39498471   4.95191239e+13   -0.659171649   1.54260584   0.0293916459   1067.73414   218.915361   40   39.989871   0.0011010848   0.0233652576   947.728855   -3.80736095e+14   -6.49711151e-06
11.71385   1.15787411e+32   1.39503812   4.90451264e+13   -0.659190752   1.54254856   0.0291110315   1065.37894   218.565475   40   39.9901306   0.00109298318   0.0231385522   947.700659   -3.77657572e+14   -6.4653627e-06
